Country,Year,total_population,net_migration
India,2023,1428627663.0,-486136.0
India,2022,1417173173.0,-487303.0
India,2021,1407563842.0,-301970.0
India,2020,1396387127.0,-34772.0
India,2019,1383112050.0,-593495.0
India,2018,1369003306.0,-561563.0
India,2017,1354195680.0,-219656.0
India,2016,1338636340.0,68119.0
India,2015,1322866505.0,-475094.0
India,2014,1307246509.0,-310694.0
India,2013,1291132063.0,-236387.0
India,2012,1274487215.0,-180991.0
India,2011,1257621191.0,-244114.0
India,2010,1240613620.0,-380087.0
India,2009,1223640160.0,-803437.0
India,2008,1206734806.0,-846785.0
India,2007,1189691809.0,-769184.0
India,2006,1172373788.0,-678231.0
India,2005,1154638713.0,-550186.0
India,2004,1136264583.0,-214351.0
India,2003,1117415123.0,-255516.0
India,2002,1098313039.0,-208070.0
India,2001,1078970907.0,-177306.0
India,2000,1059633675.0,-149966.0
India,1999,1040500054.0,-106592.0
India,1998,1021434576.0,-28485.0
India,1997,1002335230.0,1240.0
India,1996,983281218.0,-26079.0
India,1995,964279129.0,-57139.0
India,1994,945261958.0,110095.0
India,1993,926351297.0,2440.0
India,1992,907574049.0,8198.0
India,1991,888941756.0,-158007.0
India,1990,870452165.0,108465.0
India,1989,852012673.0,-13987.0
India,1988,833729681.0,-103742.0
India,1987,815716125.0,-232178.0
India,1986,797878993.0,-258917.0
India,1985,780242084.0,-112781.0
India,1984,762895156.0,-57788.0
India,1983,745826546.0,46174.0
India,1982,729169466.0,-26106.0
India,1981,712869298.0,23662.0
India,1980,696828385.0,202323.0
India,1979,681248383.0,68198.0
India,1978,666267760.0,-13841.0
India,1977,651685628.0,-31092.0
India,1976,637451448.0,-436104.0
India,1975,623524219.0,-225989.0
India,1974,609721951.0,-168162.0
India,1973,596107483.0,-62763.0
India,1972,582837973.0,-60291.0
India,1971,569999178.0,-220417.0
India,1970,557501301.0,-45792.0
India,1969,545314670.0,-171683.0
India,1968,533431909.0,-184326.0
India,1967,521987069.0,-124336.0
India,1966,510992617.0,-144807.0
India,1965,500114346.0,19077.0
India,1964,489059309.0,5837.0
India,1963,477933619.0,48986.0
India,1962,467024193.0,110398.0
India,1961,456351876.0,114181.0
India,1960,445954579.0,52264.0
Pakistan,2023,240485658.0,-165988.0
Pakistan,2022,235824862.0,-165988.0
Pakistan,2021,231402117.0,-471395.0
Pakistan,2020,227196741.0,-588736.0
Pakistan,2019,223293280.0,-1177218.0
Pakistan,2018,219731479.0,-1309609.0
Pakistan,2017,216379655.0,-1574581.0
Pakistan,2016,213524840.0,-2290411.0
Pakistan,2015,210969298.0,-2172159.0
Pakistan,2014,208251628.0,-2037911.0
Pakistan,2013,205337562.0,-1906315.0
Pakistan,2012,202205861.0,-1647986.0
Pakistan,2011,198602738.0,-890633.0
Pakistan,2010,194454498.0,-431891.0
Pakistan,2009,190123222.0,-338507.0
Pakistan,2008,185931955.0,-525915.0
Pakistan,2007,181924521.0,-563471.0
Pakistan,2006,178069984.0,-628923.0
Pakistan,2005,174372098.0,-632467.0
Pakistan,2004,170648620.0,-524871.0
Pakistan,2003,166876680.0,-578225.0
Pakistan,2002,163262807.0,-834546.0
Pakistan,2001,159217727.0,344288.0
Pakistan,2000,154369924.0,940739.0
Pakistan,1999,149694462.0,148403.0
Pakistan,1998,145476106.0,148849.0
Pakistan,1997,141330267.0,151546.0
Pakistan,1996,137234810.0,147987.0
Pakistan,1995,133117476.0,296208.0
Pakistan,1994,129245139.0,-276644.0
Pakistan,1993,125546615.0,-278.0
Pakistan,1992,122375179.0,-1320633.0
Pakistan,1991,119203569.0,-6127.0
Pakistan,1990,115414069.0,30184.0
Pakistan,1989,111670386.0,68004.0
Pakistan,1988,107967838.0,148304.0
Pakistan,1987,104251093.0,326899.0
Pakistan,1986,100618523.0,199664.0
Pakistan,1985,97121552.0,282435.0
Pakistan,1984,94003867.0,-351354.0
Pakistan,1983,91080372.0,73873.0
Pakistan,1982,87828198.0,552153.0
Pakistan,1981,84270202.0,997103.0
Pakistan,1980,80624057.0,1078233.0
Pakistan,1979,77407341.0,450001.0
Pakistan,1978,74789330.0,110097.0
Pakistan,1977,72451105.0,84000.0
Pakistan,1976,70230923.0,47154.0
Pakistan,1975,68126999.0,-3437.0
Pakistan,1974,66149169.0,-69596.0
Pakistan,1973,64285624.0,-116081.0
Pakistan,1972,62509565.0,-138485.0
Pakistan,1971,60878781.0,-136808.0
Pakistan,1970,59290872.0,-116631.0
Pakistan,1969,57676805.0,-114875.0
Pakistan,1968,56124743.0,-117510.0
Pakistan,1967,54629793.0,-119938.0
Pakistan,1966,53199414.0,-122151.0
Pakistan,1965,51841626.0,-124241.0
Pakistan,1964,50552592.0,-126712.0
Pakistan,1963,49325050.0,-129202.0
Pakistan,1962,48161841.0,-131607.0
Pakistan,1961,47060915.0,-133982.0
Pakistan,1960,45954226.0,0.0
