Country,Year,total_population,net_migration
Afghanistan,2023,42239854.0,-65846.0
Afghanistan,2022,41128771.0,-65846.0
Afghanistan,2021,40099462.0,-183672.0
Afghanistan,2020,38972230.0,166821.0
Afghanistan,2019,37769499.0,-8082.0
Afghanistan,2018,36686784.0,-47205.0
Afghanistan,2017,35643418.0,-47090.0
Afghanistan,2016,34636207.0,-90238.0
Afghanistan,2015,33753499.0,-281739.0
Afghanistan,2014,32716210.0,255611.0
Afghanistan,2013,31541209.0,48076.0
Afghanistan,2012,30466479.0,105905.0
Afghanistan,2011,29249157.0,418796.0
Afghanistan,2010,28189672.0,-141355.0
Afghanistan,2009,27385307.0,-58881.0
Afghanistan,2008,26427199.0,221000.0
Afghanistan,2007,25903301.0,-942887.0
Afghanistan,2006,25442944.0,62684.0
Afghanistan,2005,24411191.0,252185.0
Afghanistan,2004,23553551.0,-248616.0
Afghanistan,2003,22645130.0,388632.0
Afghanistan,2002,21000256.0,1327074.0
Afghanistan,2001,19688632.0,-192286.0
Afghanistan,2000,19542982.0,-1007135.0
Afghanistan,1999,19262847.0,85758.0
Afghanistan,1998,18493132.0,35740.0
Afghanistan,1997,17788819.0,6129.0
Afghanistan,1996,17106595.0,27194.0
Afghanistan,1995,16418912.0,71824.0
Afghanistan,1994,15455555.0,665410.0
Afghanistan,1993,14003760.0,1171818.0
Afghanistan,1992,12057433.0,1834556.0
Afghanistan,1991,10745167.0,39926.0
Afghanistan,1990,10694796.0,-666001.0
Afghanistan,1989,10673168.0,2683.0
Afghanistan,1988,10383460.0,-89837.0
Afghanistan,1987,10322758.0,-402606.0
Afghanistan,1986,10448442.0,-427073.0
Afghanistan,1985,10512221.0,-210572.0
Afghanistan,1984,10243686.0,322022.0
Afghanistan,1983,9951449.0,-192869.0
Afghanistan,1982,10088289.0,-586943.0
Afghanistan,1981,11155195.0,-2127145.0
Afghanistan,1980,12486631.0,-1205401.0
Afghanistan,1979,12986369.0,-481199.0
Afghanistan,1978,12938862.0,-117186.0
Afghanistan,1977,12687301.0,-83115.0
Afghanistan,1976,12425267.0,-85430.0
Afghanistan,1975,12157386.0,-44418.0
Afghanistan,1974,11869879.0,-20009.0
Afghanistan,1973,11575305.0,-3030.0
Afghanistan,1972,11286753.0,-4050.0
Afghanistan,1971,11015857.0,-12801.0
Afghanistan,1970,10752971.0,4458.0
Afghanistan,1969,10494489.0,2029.0
Afghanistan,1968,10247780.0,3333.0
Afghanistan,1967,10010030.0,6824.0
Afghanistan,1966,9783147.0,3563.0
Afghanistan,1965,9565147.0,10695.0
Afghanistan,1964,9355514.0,7079.0
Afghanistan,1963,9157465.0,6681.0
Afghanistan,1962,8969047.0,7016.0
Afghanistan,1961,8790140.0,6109.0
Afghanistan,1960,8622466.0,2606.0
Bangladesh,2023,172954319.0,-309977.0
Bangladesh,2022,171186372.0,-309977.0
Bangladesh,2021,169356251.0,-174500.0
Bangladesh,2020,167420951.0,-61154.0
Bangladesh,2019,165516222.0,-344054.0
Bangladesh,2018,163683958.0,-323380.0
Bangladesh,2017,161793964.0,-175755.0
Bangladesh,2016,159784568.0,-55013.0
Bangladesh,2015,157830000.0,-286512.0
Bangladesh,2014,155961299.0,-219628.0
Bangladesh,2013,154030139.0,-194048.0
Bangladesh,2012,152090649.0,-242022.0
Bangladesh,2011,150211005.0,-341152.0
Bangladesh,2010,148391139.0,-462265.0
Bangladesh,2009,146706810.0,-740788.0
Bangladesh,2008,145421318.0,-1390782.0
Bangladesh,2007,144135934.0,-923456.0
Bangladesh,2006,142628831.0,-1146688.0
Bangladesh,2005,140912590.0,-715970.0
Bangladesh,2004,138789725.0,-535175.0
Bangladesh,2003,136503206.0,-533925.0
Bangladesh,2002,134139826.0,-451611.0
Bangladesh,2001,131670484.0,-347605.0
Bangladesh,2000,129193327.0,-424718.0
Bangladesh,1999,126754824.0,-435710.0
Bangladesh,1998,124350471.0,-407859.0
Bangladesh,1997,122039226.0,-390261.0
Bangladesh,1996,119876868.0,-389040.0
Bangladesh,1995,117793338.0,-374788.0
Bangladesh,1994,115614891.0,-214321.0
Bangladesh,1993,113418757.0,-271146.0
Bangladesh,1992,111272102.0,-265940.0
Bangladesh,1991,109242834.0,-386852.0
Bangladesh,1990,107147651.0,-200144.0
Bangladesh,1989,104893674.0,-285369.0
Bangladesh,1988,102688833.0,-319331.0
Bangladesh,1987,100490256.0,-369057.0
Bangladesh,1986,98271746.0,-344929.0
Bangladesh,1985,95959099.0,-204954.0
Bangladesh,1984,93534239.0,-137861.0
Bangladesh,1983,91045478.0,-52640.0
Bangladesh,1982,88555336.0,-129194.0
Bangladesh,1981,86154836.0,-194707.0
Bangladesh,1980,83929765.0,-369408.0
Bangladesh,1979,81908151.0,-495624.0
Bangladesh,1978,80007550.0,-503563.0
Bangladesh,1977,78137788.0,-472837.0
Bangladesh,1976,76380080.0,-635891.0
Bangladesh,1975,74700345.0,-499347.0
Bangladesh,1974,72947807.0,-349410.0
Bangladesh,1973,71144818.0,-320793.0
Bangladesh,1972,69346705.0,-331901.0
Bangladesh,1971,68376204.0,-289989.0
Bangladesh,1970,67541860.0,-193149.0
Bangladesh,1969,65866908.0,-132422.0
Bangladesh,1968,63995652.0,-15936.0
Bangladesh,1967,62104488.0,23163.0
Bangladesh,1966,60265259.0,3756.0
