iter	Accuracy	Logloss
0	0.8038922156	0.6924308417
1	0.8038922156	0.6918230836
2	0.8038922156	0.6911593798
3	0.8278443114	0.6905407865
4	0.8278443114	0.689880233
5	0.8278443114	0.6892826343
6	0.8278443114	0.688599814
7	0.8173652695	0.6881083664
8	0.8173652695	0.6874399717
9	0.8173652695	0.6870015995
10	0.8173652695	0.6863446829
11	0.8218562874	0.6857268788
12	0.8218562874	0.6850781282
13	0.8218562874	0.6844310024
14	0.8218562874	0.683759032
15	0.8218562874	0.683175296
16	0.8218562874	0.6825930167
17	0.8233532934	0.6819342849
18	0.8218562874	0.6815338219
19	0.8218562874	0.6808616789
20	0.8218562874	0.6802073369
21	0.8203592814	0.6797593127
22	0.8203592814	0.6791701157
23	0.8203592814	0.6785374779
24	0.8203592814	0.677901531
25	0.8203592814	0.6772640263
26	0.8113772455	0.6767486722
27	0.8113772455	0.676121978
28	0.8113772455	0.6755592962
29	0.8128742515	0.6749682028
30	0.8128742515	0.6743407086
31	0.8218562874	0.6737023056
32	0.8128742515	0.673346624
33	0.8128742515	0.672703477
34	0.8128742515	0.6720867797
35	0.8143712575	0.6714233262
36	0.8143712575	0.670794282
37	0.8173652695	0.6701762636
38	0.8173652695	0.6695402577
39	0.8173652695	0.6689314007
40	0.8173652695	0.6682963946
41	0.8203592814	0.6676134963
42	0.8203592814	0.6670093146
43	0.8203592814	0.6664652155
44	0.8203592814	0.6659027382
45	0.8203592814	0.6655276584
46	0.8203592814	0.664967364
47	0.8203592814	0.6644104051
48	0.8203592814	0.6637402287
49	0.8203592814	0.6631193752
50	0.8203592814	0.6625213123
51	0.8203592814	0.6619295035
52	0.8203592814	0.6613314518
53	0.8203592814	0.6606895862
54	0.8203592814	0.6600764231
55	0.8203592814	0.6594173716
56	0.8203592814	0.6588331339
57	0.8203592814	0.6582251582
58	0.8203592814	0.6577028092
59	0.8203592814	0.6572190179
60	0.8203592814	0.6566350276
61	0.8203592814	0.6560576986
62	0.8203592814	0.655511126
63	0.8203592814	0.6549771391
64	0.8203592814	0.6543892432
65	0.8203592814	0.6538174957
66	0.8203592814	0.6532417197
67	0.8218562874	0.6525961047
68	0.8218562874	0.6519370039
69	0.8218562874	0.6514084533
70	0.8218562874	0.650839336
71	0.8218562874	0.6504033564
72	0.8218562874	0.650029242
73	0.8218562874	0.6494530633
74	0.8218562874	0.6488886939
75	0.8218562874	0.648313092
76	0.8218562874	0.647791888
77	0.8218562874	0.6472113674
78	0.8218562874	0.6466870878
79	0.8218562874	0.6460850516
80	0.8218562874	0.645533517
81	0.8233532934	0.6449616991
82	0.8233532934	0.6444129898
83	0.8218562874	0.6440116247
84	0.8218562874	0.6434607017
85	0.8218562874	0.6429577766
86	0.8218562874	0.6423885953
87	0.8218562874	0.6417651439
88	0.8218562874	0.6411996209
89	0.8218562874	0.6406355373
90	0.8218562874	0.6403019342
91	0.8218562874	0.6399954547
92	0.8218562874	0.6394138042
93	0.8218562874	0.6388532819
94	0.8218562874	0.6382941016
95	0.8218562874	0.6377154657
96	0.8218562874	0.6371843956
97	0.8218562874	0.6366845175
98	0.8218562874	0.6361417345
99	0.8218562874	0.6355894347
100	0.8218562874	0.6351245221
101	0.8218562874	0.6345747412
102	0.8218562874	0.6339838109
103	0.8218562874	0.6334509722
104	0.8218562874	0.6329632199
105	0.8218562874	0.6324209081
106	0.8218562874	0.6319569574
107	0.8218562874	0.6314357979
108	0.8218562874	0.6309203296
109	0.8218562874	0.6303605516
110	0.8218562874	0.6299875111
111	0.8218562874	0.6296513624
112	0.8218562874	0.6291358729
113	0.8218562874	0.628658167
114	0.8218562874	0.6281252898
115	0.8218562874	0.6276179195
116	0.8218562874	0.6271433953
117	0.8233532934	0.6266217341
118	0.8233532934	0.6261045136
119	0.8233532934	0.6256463473
120	0.8233532934	0.6251608095
121	0.8218562874	0.6247352068
122	0.8218562874	0.6241837265
123	0.8218562874	0.623824405
124	0.8218562874	0.6233226834
125	0.8218562874	0.6228619122
126	0.8218562874	0.6223675196
127	0.8218562874	0.6218612444
128	0.8218562874	0.6213566931
129	0.8218562874	0.620911861
130	0.8218562874	0.620453117
131	0.8218562874	0.6198895652
132	0.8218562874	0.6194024586
133	0.8218562874	0.6189885874
134	0.8218562874	0.6186743855
135	0.8218562874	0.6181813046
136	0.8218562874	0.617728715
137	0.8218562874	0.6172230765
138	0.8218562874	0.6167329321
139	0.8218562874	0.6164143104
140	0.8218562874	0.6159830669
141	0.8218562874	0.6154774201
142	0.8218562874	0.6150310097
143	0.8218562874	0.6145313655
144	0.8218562874	0.6142364805
145	0.8218562874	0.6138754887
146	0.8218562874	0.6133285345
147	0.8218562874	0.6128718135
148	0.8218562874	0.6125111239
149	0.8218562874	0.6120379257
150	0.8218562874	0.6115465291
151	0.8218562874	0.6110798716
152	0.8218562874	0.6106191776
153	0.8218562874	0.6101327896
154	0.8218562874	0.6096702352
155	0.8218562874	0.6092817402
156	0.8218562874	0.608893318
157	0.8218562874	0.6084292071
158	0.8218562874	0.608010004
159	0.8218562874	0.6075082591
160	0.8218562874	0.6070832418
161	0.8218562874	0.6065601289
162	0.8218562874	0.6063036068
163	0.8218562874	0.6058458705
164	0.8218562874	0.6054332947
165	0.8218562874	0.6051527779
166	0.8218562874	0.6047335867
167	0.8218562874	0.6043171186
168	0.8218562874	0.6038683721
169	0.8218562874	0.6034168079
170	0.8218562874	0.6029665565
171	0.8218562874	0.6025142375
172	0.8218562874	0.6020976383
173	0.8218562874	0.601655089
174	0.8218562874	0.601261989
175	0.8218562874	0.6008210209
176	0.8218562874	0.6003784388
177	0.8218562874	0.5999836126
178	0.8218562874	0.5995731083
179	0.8218562874	0.5991636442
180	0.8218562874	0.5987120684
181	0.8218562874	0.5982736613
182	0.8218562874	0.5978101108
183	0.8218562874	0.5973673625
184	0.8218562874	0.5968962107
185	0.8218562874	0.59643739
186	0.8218562874	0.595933421
187	0.8218562874	0.5955022992
188	0.8218562874	0.5950098172
189	0.8218562874	0.5946249509
190	0.8218562874	0.5942363241
191	0.8218562874	0.5938436356
192	0.8218562874	0.5933333059
193	0.8248502994	0.5928519013
194	0.8248502994	0.5923889013
195	0.8248502994	0.5919696434
196	0.8248502994	0.5915941945
197	0.8248502994	0.5912155694
198	0.8248502994	0.5908120575
199	0.8248502994	0.5903573901
200	0.8218562874	0.5900389454
201	0.8218562874	0.5896767924
202	0.8218562874	0.58919957
203	0.8218562874	0.588834771
204	0.8248502994	0.5884008609
205	0.8278443114	0.5879281941
206	0.8278443114	0.5875572634
207	0.8278443114	0.5871462753
208	0.8278443114	0.586716603
209	0.8278443114	0.5863077625
210	0.8278443114	0.5858482669
211	0.8278443114	0.5854452263
212	0.8278443114	0.5850013354
213	0.8278443114	0.5846004141
214	0.8278443114	0.5841971044
215	0.8278443114	0.5838224396
216	0.8278443114	0.5833777899
217	0.8278443114	0.5829580512
218	0.8278443114	0.5825480545
219	0.8278443114	0.5822797071
220	0.8278443114	0.581862684
221	0.8278443114	0.5815720766
222	0.8278443114	0.5811562427
223	0.8278443114	0.580805419
224	0.8278443114	0.5803949252
225	0.8278443114	0.5801577729
226	0.8278443114	0.5798273707
227	0.8278443114	0.5794160306
228	0.8278443114	0.5790376698
229	0.8278443114	0.578578358
230	0.8278443114	0.5783622256
231	0.8278443114	0.57792175
232	0.8278443114	0.5774741863
233	0.8278443114	0.5770915332
234	0.8278443114	0.5767137203
235	0.8278443114	0.5764196897
236	0.8278443114	0.5760176547
237	0.8278443114	0.5756817077
238	0.8278443114	0.5752890252
239	0.8278443114	0.5749135335
240	0.8278443114	0.5745373164
241	0.8278443114	0.5741961696
242	0.8278443114	0.5738809052
243	0.8278443114	0.5734447851
244	0.8278443114	0.5731127882
245	0.8263473054	0.5727843353
246	0.8263473054	0.5724099379
247	0.8263473054	0.5720755021
248	0.8263473054	0.5716863331
249	0.8263473054	0.5713158427
250	0.8263473054	0.5709906538
251	0.8278443114	0.5706580808
252	0.8278443114	0.5704307414
253	0.8278443114	0.5700816802
