iter	Passed	Remaining
0	13	13319
1	28	14418
2	49	16296
3	64	16112
4	94	18864
5	114	19048
6	121	17304
7	130	16219
8	138	15290
9	150	14881
10	158	14279
11	165	13651
12	175	13302
13	182	12876
14	191	12555
15	197	12129
16	204	11836
17	212	11585
18	219	11353
19	228	11209
20	237	11094
21	245	10923
22	254	10808
23	263	10704
24	270	10567
25	279	10465
26	290	10478
27	298	10372
28	308	10328
29	315	10188
30	324	10157
31	334	10122
32	339	9959
33	345	9829
34	364	10045
35	391	10472
36	437	11378
37	454	11517
38	468	11545
39	476	11427
40	487	11404
41	499	11396
42	508	11327
43	519	11289
44	530	11258
45	538	11176
46	547	11107
47	558	11071
48	570	11070
49	576	10949
50	596	11096
51	604	11027
52	617	11038
53	628	11018
54	636	10930
55	641	10812
56	651	10776
57	657	10679
58	666	10626
59	672	10534
60	679	10454
61	686	10388
62	694	10328
63	700	10248
64	706	10157
65	712	10078
66	719	10018
67	726	9950
68	731	9872
69	738	9811
70	746	9761
71	752	9705
72	760	9661
73	766	9595
74	772	9524
75	779	9471
76	786	9423
77	796	9413
78	803	9362
79	810	9315
80	815	9253
81	824	9226
82	830	9173
83	835	9110
84	842	9072
85	849	9032
86	857	8997
87	864	8961
88	870	8906
89	876	8867
90	882	8813
91	887	8755
92	893	8715
93	900	8675
94	905	8629
95	911	8580
96	917	8541
97	925	8516
98	932	8484
99	940	8461
100	946	8425
101	953	8398
102	962	8381
103	967	8336
104	975	8315
105	981	8275
106	987	8243
107	993	8205
108	998	8162
109	1005	8137
110	1013	8120
111	1020	8092
112	1026	8053
113	1031	8016
114	1039	7997
115	1046	7971
116	1053	7953
117	1061	7931
118	1067	7900
119	1076	7891
120	1081	7858
121	1088	7834
122	1095	7809
123	1101	7782
124	1109	7764
125	1114	7733
126	1122	7717
127	1128	7686
128	1133	7656
129	1140	7635
130	1147	7613
131	1159	7626
132	1169	7621
133	1178	7619
134	1190	7629
135	1210	7689
136	1222	7700
137	1240	7751
138	1261	7815
139	1275	7835
140	1286	7835
141	1294	7820
142	1302	7806
143	1310	7789
144	1316	7761
145	1324	7750
146	1333	7739
147	1341	7720
148	1349	7707
149	1356	7687
150	1367	7690
151	1376	7678
152	1387	7681
153	1400	7691
154	1409	7684
155	1419	7677
156	1427	7664
157	1436	7657
158	1445	7646
159	1453	7631
160	1461	7614
161	1470	7604
162	1476	7581
163	1484	7566
164	1491	7546
165	1497	7524
166	1503	7499
167	1511	7485
168	1518	7466
169	1524	7445
170	1532	7429
171	1540	7413
172	1547	7397
173	1553	7374
174	1562	7367
175	1569	7348
176	1582	7356
177	1590	7344
178	1599	7337
179	1605	7315
180	1622	7339
181	1629	7323
182	1636	7306
183	1643	7286
184	1650	7270
185	1656	7247
186	1663	7230
187	1670	7213
188	1678	7203
189	1685	7187
190	1693	7171
191	1699	7152
192	1708	7144
193	1716	7132
194	1724	7117
195	1732	7106
196	1739	7090
197	1746	7074
198	1753	7057
199	1760	7042
200	1767	7027
201	1775	7014
202	1783	7001
203	1789	6984
204	1796	6967
205	1803	6950
206	1811	6939
207	1816	6918
208	1823	6902
209	1829	6881
210	1837	6870
211	1845	6860
212	1852	6846
213	1860	6831
214	1866	6816
215	1874	6803
216	1881	6788
217	1889	6778
218	1896	6762
219	1904	6750
220	1910	6734
221	1917	6718
222	1925	6710
223	1932	6694
224	1941	6685
225	1947	6670
226	1955	6659
227	1962	6645
228	1969	6632
229	1976	6617
230	1980	6594
231	1990	6588
232	1997	6576
233	2006	6567
234	2012	6550
235	2020	6539
236	2027	6526
237	2034	6514
238	2041	6501
239	2048	6486
240	2055	6472
241	2061	6457
242	2070	6448
243	2077	6436
244	2084	6423
245	2091	6409
246	2097	6393
247	2105	6385
248	2113	6373
249	2119	6359
250	2126	6345
251	2134	6336
252	2139	6317
253	2145	6302
254	2153	6290
255	2159	6277
256	2167	6266
257	2174	6254
258	2183	6246
259	2190	6235
260	2196	6218
261	2204	6209
262	2211	6196
263	2218	6185
264	2225	6172
265	2234	6165
266	2241	6152
267	2248	6141
268	2256	6130
269	2264	6123
270	2272	6112
271	2280	6102
272	2288	6095
273	2296	6084
274	2303	6072
275	2310	6059
276	2317	6049
277	2324	6038
278	2332	6028
279	2338	6013
280	2345	6002
281	2352	5989
282	2359	5976
283	2366	5966
284	2372	5952
285	2380	5942
286	2386	5927
287	2392	5913
288	2400	5904
289	2406	5891
290	2413	5880
291	2422	5872
292	2431	5866
293	2439	5857
294	2447	5847
295	2455	5840
296	2463	5831
297	2469	5816
298	2476	5806
299	2484	5796
300	2491	5785
301	2498	5775
302	2505	5764
303	2514	5756
304	2522	5749
305	2531	5742
306	2537	5728
307	2544	5717
308	2550	5702
309	2558	5694
310	2564	5681
311	2570	5669
312	2578	5660
313	2584	5646
314	2593	5639
315	2599	5627
316	2607	5617
317	2615	5609
318	2621	5595
319	2628	5585
320	2635	5574
321	2643	5565
322	2648	5551
323	2654	5537
324	2660	5526
325	2667	5515
326	2674	5504
327	2680	5491
328	2685	5476
329	2691	5464
330	2697	5452
331	2703	5439
332	2710	5429
333	2717	5418
334	2725	5409
335	2732	5399
336	2738	5387
337	2745	5377
338	2752	5366
339	2758	5355
340	2763	5341
341	2770	5329
342	2775	5317
343	2782	5306
344	2790	5298
345	2796	5286
346	2801	5272
347	2809	5262
348	2814	5250
349	2820	5238
350	2827	5227
351	2832	5214
352	2838	5203
353	2844	5190
354	2849	5177
355	2859	5172
356	2865	5161
357	2872	5151
358	2878	5139
359	2883	5126
360	2891	5117
361	2897	5106
362	2904	5096
363	2909	5083
364	2914	5070
365	2923	5063
366	2929	5052
367	2937	5044
368	2941	5030
369	2947	5018
370	2953	5007
371	2958	4995
372	2965	4985
373	2974	4978
374	2980	4967
375	2987	4957
376	2993	4947
377	3001	4939
378	3008	4929
379	3015	4920
380	3022	4910
381	3027	4898
382	3033	4887
383	3039	4876
384	3046	4866
385	3054	4857
386	3059	4846
387	3065	4835
388	3071	4824
389	3077	4812
390	3083	4803
391	3089	4791
392	3095	4780
393	3102	4771
394	3106	4758
395	3114	4750
396	3120	4739
397	3127	4730
398	3135	4722
399	3141	4711
400	3148	4703
401	3154	4692
402	3161	4683
403	3167	4673
404	3172	4661
405	3180	4653
406	3186	4642
407	3191	4630
408	3197	4620
409	3204	4611
410	3210	4600
411	3217	4592
412	3223	4581
413	3231	4574
414	3236	4562
415	3243	4553
416	3250	4544
417	3255	4533
418	3264	4527
419	3271	4518
420	3279	4510
421	3285	4499
422	3290	4488
423	3297	4479
424	3303	4469
425	3312	4462
426	3319	4453
427	3325	4444
428	3333	4436
429	3340	4427
430	3346	4418
431	3351	4407
432	3357	4396
433	3363	4386
434	3369	4375
435	3376	4368
436	3383	4358
437	3388	4347
438	3394	4338
439	3400	4327
440	3406	4317
441	3415	4311
442	3420	4300
443	3425	4290
444	3432	4281
445	3439	4272
446	3447	4264
447	3452	4254
448	3458	4244
449	3467	4238
450	3474	4229
451	3480	4219
452	3485	4208
453	3493	4201
454	3499	4191
455	3505	4181
456	3511	4172
457	3518	4164
458	3526	4156
459	3533	4147
460	3538	4137
461	3545	4128
462	3552	4119
463	3559	4112
464	3567	4104
465	3573	4095
466	3581	4087
467	3587	4078
468	3595	4070
469	3602	4062
470	3609	4054
471	3616	4045
472	3625	4039
473	3632	4030
474	3639	4022
475	3646	4013
476	3653	4005
477	3661	3998
478	3667	3989
479	3677	3983
480	3682	3973
481	3689	3965
482	3695	3955
483	3702	3947
484	3708	3937
485	3712	3926
486	3717	3916
487	3724	3907
488	3732	3900
489	3742	3894
490	3750	3888
491	3761	3883
492	3770	3877
493	3777	3869
494	3785	3861
495	3793	3854
496	3799	3844
497	3807	3837
498	3812	3828
499	3820	3820
500	3827	3811
501	3835	3805
502	3843	3797
503	3848	3787
504	3856	3780
505	3863	3772
506	3872	3765
507	3878	3756
508	3884	3747
509	3892	3739
510	3898	3730
511	3905	3722
512	3912	3714
513	3920	3706
514	3927	3699
515	3935	3691
516	3942	3683
517	3950	3675
518	3957	3667
519	3964	3659
520	3972	3652
521	3978	3643
522	3987	3636
523	3993	3628
524	4001	3620
525	4007	3611
526	4015	3603
527	4022	3596
528	4029	3587
529	4037	3580
530	4045	3573
531	4055	3567
532	4064	3561
533	4074	3555
534	4080	3546
535	4087	3538
536	4094	3530
537	4100	3520
538	4106	3511
539	4113	3504
540	4120	3495
541	4127	3487
542	4134	3479
543	4141	3471
544	4149	3464
545	4156	3456
546	4164	3448
547	4170	3439
548	4175	3430
549	4182	3422
550	4188	3413
551	4195	3404
552	4202	3396
553	4209	3388
554	4217	3381
555	4224	3373
556	4233	3366
557	4238	3357
558	4247	3350
559	4254	3343
560	4262	3335
561	4269	3327
562	4276	3319
563	4282	3310
564	4288	3301
565	4296	3294
566	4302	3285
567	4308	3276
568	4315	3269
569	4322	3260
570	4328	3251
571	4333	3242
572	4340	3234
573	4346	3225
574	4351	3216
575	4359	3209
576	4365	3200
577	4371	3191
578	4379	3184
579	4386	3176
580	4395	3169
581	4400	3160
582	4407	3152
583	4412	3143
584	4418	3134
585	4424	3125
586	4431	3117
587	4436	3108
588	4444	3101
589	4449	3092
590	4457	3084
591	4464	3076
592	4470	3068
593	4477	3060
594	4483	3052
595	4490	3043
596	4498	3036
597	4505	3028
598	4511	3020
599	4515	3010
600	4521	3001
601	4527	2992
602	4532	2983
603	4538	2975
604	4543	2966
605	4548	2957
606	4554	2948
607	4561	2940
608	4567	2932
609	4574	2924
610	4581	2916
611	4587	2908
612	4594	2900
613	4601	2892
614	4608	2885
615	4614	2876
616	4622	2869
617	4628	2861
618	4634	2852
619	4640	2843
620	4646	2835
621	4652	2827
622	4659	2819
623	4665	2811
624	4674	2804
625	4680	2796
626	4688	2788
627	4693	2780
628	4699	2772
629	4705	2763
630	4710	2754
631	4717	2746
632	4724	2739
633	4730	2730
634	4737	2723
635	4744	2715
636	4751	2707
637	4756	2698
638	4763	2690
639	4771	2683
640	4777	2675
641	4783	2667
642	4789	2658
643	4795	2651
644	4804	2644
645	4810	2636
646	4816	2628
647	4823	2620
648	4829	2611
649	4836	2604
650	4841	2595
651	4849	2588
652	4855	2580
653	4862	2572
654	4869	2564
655	4875	2556
656	4882	2548
657	4888	2540
658	4892	2531
659	4900	2524
660	4907	2516
661	4916	2510
662	4924	2503
663	4931	2495
664	4938	2487
665	4944	2479
666	4952	2472
667	4958	2464
668	4965	2456
669	4970	2448
670	4976	2439
671	4986	2433
672	4992	2425
673	5001	2418
674	5007	2411
675	5014	2403
676	5020	2395
677	5026	2387
678	5034	2379
679	5040	2372
680	5047	2364
681	5053	2356
682	5059	2348
683	5067	2341
684	5073	2333
685	5081	2325
686	5086	2317
687	5092	2309
688	5101	2302
689	5107	2294
690	5112	2286
691	5118	2278
692	5125	2270
693	5132	2263
694	5138	2254
695	5146	2247
696	5152	2239
697	5157	2231
698	5163	2223
699	5168	2215
700	5176	2207
701	5182	2199
702	5187	2191
703	5195	2184
704	5201	2176
705	5208	2169
706	5215	2161
707	5220	2153
708	5227	2145
709	5232	2137
710	5238	2129
711	5246	2121
712	5250	2113
713	5257	2105
714	5263	2097
715	5268	2089
716	5274	2081
717	5280	2073
718	5285	2065
719	5292	2058
720	5300	2050
721	5307	2043
722	5316	2036
723	5320	2028
724	5328	2021
725	5334	2013
726	5341	2005
727	5347	1997
728	5352	1989
729	5358	1982
730	5366	1974
731	5374	1967
732	5379	1959
733	5384	1951
734	5392	1944
735	5401	1937
736	5412	1931
737	5420	1924
738	5426	1916
739	5433	1908
740	5440	1901
741	5445	1893
742	5450	1885
743	5458	1878
744	5463	1869
745	5470	1862
746	5477	1855
747	5483	1847
748	5489	1839
749	5498	1832
750	5508	1826
751	5516	1819
752	5524	1812
753	5530	1804
754	5536	1796
755	5541	1788
756	5546	1780
757	5552	1772
758	5558	1765
759	5564	1757
760	5570	1749
761	5576	1741
762	5581	1733
763	5589	1726
764	5594	1718
765	5599	1710
766	5608	1703
767	5614	1695
768	5620	1688
769	5627	1681
770	5635	1673
771	5642	1666
772	5648	1658
773	5655	1651
774	5662	1643
775	5669	1636
776	5676	1629
777	5683	1621
778	5687	1613
779	5694	1606
780	5701	1598
781	5708	1591
782	5713	1583
783	5723	1576
784	5729	1569
785	5736	1561
786	5741	1553
787	5748	1546
788	5754	1538
789	5760	1531
790	5766	1523
791	5771	1515
792	5778	1508
793	5785	1500
794	5791	1493
795	5799	1486
796	5804	1478
797	5811	1471
798	5820	1464
799	5825	1456
800	5831	1448
801	5838	1441
802	5844	1433
803	5852	1426
804	5858	1419
805	5866	1411
806	5872	1404
807	5879	1397
808	5885	1389
809	5890	1381
810	5897	1374
811	5903	1366
812	5910	1359
813	5916	1351
814	5921	1344
815	5927	1336
816	5934	1329
817	5940	1321
818	5946	1314
819	5951	1306
820	5959	1299
821	5965	1291
822	5970	1284
823	5978	1276
824	5985	1269
825	5990	1261
826	5996	1254
827	6002	1246
828	6009	1239
829	6016	1232
830	6022	1224
831	6029	1217
832	6035	1209
833	6042	1202
834	6048	1195
835	6054	1187
836	6060	1180
837	6066	1172
838	6072	1165
839	6078	1157
840	6084	1150
841	6089	1142
842	6097	1135
843	6103	1128
844	6108	1120
845	6114	1112
846	6120	1105
847	6129	1098
848	6135	1091
849	6141	1083
850	6149	1076
851	6155	1069
852	6161	1061
853	6169	1054
854	6178	1047
855	6185	1040
856	6193	1033
857	6199	1025
858	6206	1018
859	6214	1011
860	6221	1004
861	6229	997
862	6235	989
863	6242	982
864	6250	975
865	6257	968
866	6263	960
867	6268	953
868	6275	946
869	6282	938
870	6290	931
871	6297	924
872	6303	917
873	6311	909
874	6317	902
875	6324	895
876	6329	887
877	6335	880
878	6343	873
879	6350	865
880	6358	858
881	6364	851
882	6372	844
883	6378	836
884	6385	829
885	6394	822
886	6399	815
887	6405	807
888	6412	800
889	6417	793
890	6425	786
891	6430	778
892	6437	771
893	6444	764
894	6450	756
895	6457	749
896	6463	742
897	6468	734
898	6476	727
899	6481	720
900	6488	712
901	6494	705
902	6499	698
903	6506	690
904	6512	683
905	6518	676
906	6525	669
907	6530	661
908	6536	654
909	6543	647
910	6550	639
911	6562	633
912	6571	626
913	6578	619
914	6585	611
915	6590	604
916	6596	597
917	6602	589
918	6609	582
919	6616	575
920	6622	568
921	6628	560
922	6636	553
923	6641	546
924	6646	538
925	6656	531
926	6661	524
927	6670	517
928	6676	510
929	6684	503
930	6690	495
931	6695	488
932	6702	481
933	6707	473
934	6714	466
935	6720	459
936	6726	452
937	6733	445
938	6740	437
939	6745	430
940	6752	423
941	6758	416
942	6767	409
943	6773	401
944	6781	394
945	6788	387
946	6795	380
947	6802	373
948	6808	365
949	6817	358
950	6823	351
951	6830	344
952	6836	337
953	6842	329
954	6850	322
955	6855	315
956	6861	308
957	6868	301
958	6874	293
959	6880	286
960	6887	279
961	6893	272
962	6900	265
963	6906	257
964	6912	250
965	6918	243
966	6923	236
967	6931	229
968	6936	221
969	6944	214
970	6952	207
971	6959	200
972	6966	193
973	6973	186
974	6981	179
975	6987	171
976	6993	164
977	7001	157
978	7007	150
979	7014	143
980	7019	135
981	7027	128
982	7033	121
983	7037	114
984	7044	107
985	7049	100
986	7055	92
987	7061	85
988	7067	78
989	7072	71
990	7079	64
991	7085	57
992	7093	50
993	7098	42
994	7103	35
995	7111	28
996	7116	21
997	7121	14
998	7127	7
999	7133	0
